characteristic,content
C2,hello internet my name s kevin king founder of plum geek and i am here today to introduce our newest robot wink
C2,wink was created with one idea in mind we wanted to create the easiest robot ever teaching kids to write code
C10,wink can do all the fun things you want to do with educational robot
C10,light seeking is easily done using the ambient light sensors across the front of the robot
C10,in lesson students will learn how to read sensors and use variables and make decisions based those variables
C10,wink has four sensors along it is nose that allow high speed line following and edge detection barrier and obstacle detection is possible using infrared headlights
C10,the code that allows wink to navigate maze is a lot simpler you think
C1,lots of kids that played with graphical programming systems like scratch these graphical languages are great teaching kids the basics of program flow in easy and not intimidating way
C1,but taking the next step into writing actual code can be kind of intimidated or least that is the perception
C2,we created wink to solve
C10,we designed a robot that is fun and interactive that can be program using really simple functions
C1,if you can understand the graphical functions and scratch then you will be able to understand our written functions to control wink
C2,along with the wink robot we are designing a lesson series thatll take students from the very basics of writing code all the way through the core concepts and the foundation of the c language
C10,the lessons will be accompanied by intro videos thatll allow teachers of school and workshop events to begin teaching right away even if they do not any coding experience
